,recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BI,Protein_BI,VitA_BI,VitC_BI,Calcium_BI,Iron_BI,Thiamin_BI,Niacin_BI,VitB6_BI,Magnesium_BI,Folate_BI,Potassium_BI,Dietary Fiber_BI,Total Fat_BI,Saturated Fat_BI,Cholesterol_BI,Sodium_BI,Sugars_BI,BI
0,1 dish chicken parmesan,4,16.50000001,5.0,65.00000010000001,742.0000008000001,461.00000100000005,37.59999990000001,3.1,26.8,9.000000009,564.0,1.99999998,185.0,3.0000000059999996,0.0,17.0,1.0,48.0,71.0,412,-2.303606897,4.093570924,0.817866317,209.90291206310684,149.6116504854369,3148.5436893203887,11.165048432038835,1032.7669902912621,16.747572849029126,0.0,94.90291262135923,5.58252427184466,267.9611650485437,396.3592233009709,2573.5436949029126,17.305825242718445,92.11165054126214,27.9126213592233,362.8640782281554,4142.233014174758,50.24271849684467,3.4983818677184475,10.0,1.967839805825243,0.930420702669903,3.9721807318894697,3.101402379449838,0.0,5.0,5.0,3.3495145631067964,2.477245145631068,3.6764909927184464,3.461165048543689,0.0,0.0,0.0,0.0,0.0,46.434641237552896
1,1 dish pepperoni cheese pizza bake,4,15.000000015,6.0,33.9999999,691.9999992,97.000001,32.1999999,1.3,15.299999999999999,2.9999999925,277.0,1.99999998,310.0,1.999999998,0.0,6.0,0.0,19.0,71.0,329,-3.592733652,4.548874457,0.811078065,225.10638227963528,106.96048632218844,1936.4741641337384,13.9817627781155,2167.173252279635,13.981762903951369,0.0,41.94528875379939,0.0,132.82674772036475,496.35258358662617,678.1155085106383,9.088145896656536,104.86322198936169,41.94528875379939,237.68996890577506,4837.689964012158,20.97264432446808,3.7517730379939214,10.0,1.2102963525835866,1.1651468981762918,5.0,2.589215352583587,0.0,5.0,0.0,1.6603343465045595,3.102203647416413,0.9687364407294832,1.8176291793313073,0.0,0.0,1.0385005182370823,0.0,1.6710088373860188,37.93634409270517
2,1 pea salad most requested,3,26.79999998,3.0,8.000000100000001,283.0000008,280.0,17.400000000000002,6.0,8.8,5.999999985,1906.0,16.999999980000002,69.0,1.999999998,0.0,3.0,0.0,73.0,56.00000000000001,333,-1.992816156,4.149360637,0.987261063,120.1801801801802,60.78078078078079,13164.564564564564,117.41741727927929,476.57657657657654,13.8138138,0.0,20.72072072072072,0.0,504.2042042042042,386.7867867867868,1933.933933933934,41.44144144144144,185.10510496696696,20.72072072072072,55.255255945945954,1954.6546601801804,41.44144133783783,2.0030030030030033,9.117117117117118,5.0,5.0,1.8329868329868328,2.5581136666666664,0.0,5.0,0.0,5.0,2.4174174174174174,2.7627627627627627,5.0,0.0,0.0,4.079079067567568,0.927802791291291,0.0,46.619203591245096
3,15 minute herbed chicken,6,8.99999997,2.0,72.9999999,568.9999992,248.0000005,6.999999900000001,1.2,26.700000000000003,1.9999999845,74.0,0.0,48.0,1.000000008,0.0,16.0,0.0,26.0,5.0,225,0.738757843,4.338405309,0.947147168,71.55555453333334,272.9333333333334,756.4444444444445,0.0,490.6666666666667,10.222222304,0.0,163.55555555555554,0.0,265.77777777777777,51.111111111111114,2535.1111162222223,12.266666666666666,91.99999969333332,20.444444444444443,746.2222212000001,5816.444436266667,20.444444286,1.1925925755555555,10.0,0.4727777777777778,0.0,1.8871794871794871,1.8930041303703704,0.0,5.0,0.0,3.322222222222222,0.3194444444444445,3.621587308888889,2.453333333333333,0.0,0.0,0.0,0.0,1.7548501133333332,31.91699139310541
4,2 step creamy chicken and pasta,7,11.59999997,3.0,80.00000010000001,624.0,142.0000015,30.5000001,4.3,28.9,4.0000000005,14.0,0.0,11.0,1.000000008,0.0,11.0,0.0,19.0,2.0,340,-0.303774097,4.113392847,0.756918724,206.3235300882353,195.49999999999997,94.70588235294117,0.0,74.41176470588236,6.764705936470588,0.0,74.41176470588236,0.0,128.52941176470588,13.529411764705882,960.5882454411765,29.088235294117645,78.47058803235295,20.294117647058822,541.1764712647059,4221.176470588235,27.05882353279412,3.438725501470588,10.0,0.05919117647058823,0.0,0.2861990950226245,1.2527233215686275,0.0,5.0,0.0,1.6066176470588236,0.08455882352941176,1.3722689220588236,5.0,0.0,0.0,0.0,0.0,0.7049486455882352,28.805233132767718
5,2 step skillet chicken broccoli divan,2,15.6,7.0,90.0,726.0,420.999999,12.3,3.0,30.4,2.9999999925,732.0,61.999999980000005,181.0,1.000000008,0.0,12.0,0.0,40.0,50.0,310,-1.801175399,4.25451789,0.755933075,91.25806451612904,225.54838709677418,5430.967741935484,459.999999851613,1342.9032258064517,7.419354898064516,0.0,89.03225806451613,0.0,296.7741935483871,370.96774193548384,3123.5483796774192,22.258064516129032,115.74193548387098,51.93548387096774,667.741935483871,5386.451612903225,22.25806446048387,1.520967741935484,10.0,3.394354838709677,5.0,5.0,1.373954610752688,0.0,5.0,0.0,3.709677419354838,2.318548387096774,4.462211970967742,4.451612903225806,0.0,0.0,0.0,0.0,1.4669738951612907,47.6983017672043
6,25 minute tunisian vegetable couscous,4,4.899999975,1.0,0.0,699.0,486.99999949999994,72.0999999,8.8,13.600000000000001,5.000000008500001,2044.9999999999998,52.99999998,84.0,3.0000000059999996,0.0,6.0,1.0,68.0,86.0,387,-1.854045753,4.324902161,0.999999997,428.5012913953488,80.82687338501293,12153.746770025838,314.98707998449606,499.2248062015504,17.8294574,0.0,35.65891472868217,5.943152454780362,404.13436692506457,511.1111111111111,2894.3152425064595,52.299741602067186,29.12144687984496,5.943152454780362,0.0,4154.263565891473,29.71576232441861,10.0,12.12403100775194,5.0,5.0,1.9200954084675015,3.30175137037037,0.0,5.0,5.0,5.0,3.194444444444444,4.1347360607235135,5.0,2.7598887015503877,3.5142118863049094,5.0,0.0,0.28321232945736363,71.23237120907044
7,3 cheese eggplant lasagna,4,15.999999990000001,6.0,80.00000010000001,2475.0,787.0000005,20.7999999,4.5,17.3,5.999999985,6478.0,18.0,429.0,3.0000000059999996,0.0,5.0,0.0,65.0,68.0,285,-7.646672228,4.349537281,0.583931739,167.85964831578946,139.61403508771932,52278.59649122807,145.26315789473685,3462.1052631578946,24.210526364210523,0.0,40.35087719298245,0.0,524.561403508772,548.7719298245614,6351.228074210527,36.31578947368421,129.12280693684212,48.421052631578945,645.6140358947368,19973.684210526317,48.421052510526316,2.7976608052631575,10.0,5.0,5.0,5.0,4.4834308081871335,0.0,5.0,0.0,5.0,3.429824561403509,5.0,5.0,0.0,0.0,0.0,0.0,0.0,55.71091617485379
8,3 ingredient pulled pork barbeque,9,16.399999979999997,6.0,105.9999999,922.0000008000001,529.9999985,23.9000001,0.5,32.2,16.000000002,153.0,1.0000000199999999,42.0,1.999999998,1.0000000005,12.0,1.0,32.0,3.0,382,-2.593219361,4.218459291,0.8891934020000001,143.90052416230367,193.87434554973822,921.2041884816754,6.020942528795811,252.87958115183247,12.041884804712042,6.020942411387435,72.25130890052355,6.020942408376964,192.67015706806285,18.06282722513089,3191.0994674083763,3.010471204188482,98.74345537696333,36.12565445026178,638.2198946858639,5551.308905340315,96.33507854607329,2.398342069371728,10.0,0.5757526178010471,0.5017452107329843,0.9726137736608941,2.229978667539267,5.0,5.0,5.0,2.4083769633507854,0.11289267015706805,4.558713524869109,0.6020942408376964,0.0,0.0,0.0,0.0,0.0,39.36050973832058
9,30 minute irish skillet,4,19.300000004999998,6.0,51.9999999,714.0,336.0,24.599999999999998,4.1,16.8,4.0000000005,62.0,22.99999998,36.00000000000001,1.999999998,0.0,6.0,0.0,22.0,34.0,342,-3.420729312,4.383193222,0.8476670000000001,165.43859649122805,112.98245614035088,416.95906432748535,154.6783624385965,242.1052631578948,13.450292384210528,0.0,40.35087719298245,0.0,147.953216374269,228.6549707602339,2259.649122807017,27.573099415204677,129.79532167105262,40.35087719298245,349.7076016666666,4801.754385964912,26.90058479868421,2.7573099415204676,10.0,0.26059941520467833,5.0,0.931174089068826,2.4907948859649127,0.0,5.0,0.0,1.8494152046783627,1.4290935672514617,3.228070175438596,5.0,0.0,0.0,0.0,0.0,0.7300659049707602,38.676523184098066
10,5 cup salad,3,8.70000001,6.0,12.9999999,51.00000000000001,156.0000015,19.2,1.4000000000000001,1.5,13.999999986,463.99999999999994,13.99999998,42.0,0.0,0.0,1.0,0.0,16.0,7.000000000000001,157,-3.126704797,4.53731767,0.999712387,281.2738853503185,21.97452229299363,6797.452229299362,205.09554110828026,615.2866242038217,0.0,0.0,14.649681528662422,0.0,234.39490445859875,102.54777070063695,2285.3503404458597,20.509554140127392,127.45222944585987,87.89808917197452,190.44585840764333,747.1337579617835,205.09554119617837,4.687898089171975,3.296178343949044,4.248407643312102,5.0,2.366487016168545,0.0,0.0,3.6624203821656054,0.0,2.9299363057324843,0.6409235668789809,3.2647862006369426,4.101910828025479,0.0,0.0,1.8259023598726112,3.4434713375796178,0.0,37.642419713620775
11,a 20 minute chicken parmesan,4,15.799999995,7.0,135.0,928.9999991999999,581.0,26.099999999999998,3.7000000000000006,32.6,10.999999993500001,1179.0,7.99999998,199.0,3.0000000059999996,0.0,18.0,1.0,56.00000000000001,48.0,383,-2.819446637,4.22172726,0.849434638,156.73629242819842,195.77023498694518,7080.156657963447,48.04177533681462,1195.0391644908618,18.01566583237598,0.0,108.09399477806788,6.005221932114883,336.2924281984334,288.25065274151433,3489.0339425587467,22.219321148825067,94.88250649738903,42.03655352480418,810.7049608355092,5578.851170130548,66.05744121422977,2.6122715404699735,10.0,4.425097911227154,4.003481278067885,4.596304478811007,3.336234413402959,0.0,5.0,5.0,4.203655352480418,1.8015665796344646,4.984334203655353,4.443864229765014,0.0,0.0,0.0,0.0,0.0,54.40680998751423
12,a fragrant spicy rice,5,9.800000015,2.0,8.000000100000001,504.0,545.000001,48.500000099999994,9.4,12.8,5.000000008500001,2268.0,31.99999998,85.0,3.999999996,0.0,5.0,0.0,83.0,170.0,331,-1.439454935,4.2357968810000015,0.999324266,337.00906413897275,88.94259818731118,15759.5166163142,222.35649532930512,590.6344410876134,27.79456190574018,0.0,34.74320241691843,0.0,576.7371601208459,1181.2688821752267,3787.009070392749,65.31722054380666,68.09667684138972,13.897280966767372,55.589124561933545,3502.1148036253776,34.74320247598188,10.0,13.341389728096676,5.0,5.0,2.2716709272600513,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,1.525679758308157,4.073514590634441,0.0,0.0,67.13874041366488
13,a good easy garlic chicken,4,10.099999975,6.0,90.99999989999999,367.99999920000005,329.0,1.7000000999999998,0.2,27.6,1.000000008,352.0,1.99999998,23.0,1.000000008,0.0,19.0,1.0,35.0,6.0,214,-0.336365519,4.289473519,0.99910182,18.27102911214953,296.63551401869165,3783.1775700934577,21.495326887850464,247.19626168224298,10.747663637383178,0.0,204.2056074766355,10.74766355140187,376.1682242990654,64.48598130841121,3535.9813084112147,2.149532710280374,108.55140160046729,64.48598130841121,978.0373821028036,3955.1401783177575,10.747663637383178,0.30451715186915884,10.0,2.364485981308411,1.7912772406542052,0.9507548526240115,1.990308080996885,0.0,5.0,5.0,4.702102803738317,0.4030373831775701,5.0,0.4299065420560748,0.0,0.0,0.0,0.0,3.294021644859813,41.230411681284444
14,a jerky chicken,6,2.7000000300000004,1.0,68.0000001,982.0000008,385.0,13.5,0.3,28.499999999999996,9.9999999855,60.0,4.00000002,32.0,1.000000008,0.0,19.0,1.0,43.0,8.0,197,0.25128944,4.477107038,0.79697455,157.61421319796955,332.74111675126903,700.507614213198,46.700507847715734,373.60406091370555,11.675126996954315,0.0,221.82741116751268,11.675126903553299,502.0304568527919,93.40101522842639,4494.923857868021,3.50253807106599,31.52284298984772,11.675126903553299,793.908630609137,11464.974628629441,116.75126886624365,2.626903553299492,10.0,0.4378172588832488,3.891708987309644,1.4369386958219443,2.1620605549915397,0.0,5.0,5.0,5.0,0.583756345177665,5.0,0.7005076142131981,2.5751659238578677,2.0812182741116754,0.0,0.0,0.0,46.496077207666275
15,a nice slow cooked pork,9,19.100000010000002,7.0,84.00000000000001,630.0,786.0000014999999,34.299999899999996,3.0,26.700000000000003,5.999999985,697.0,19.00000002,78.0,3.0000000059999996,1.0000000005,11.0,0.0,40.0,24.0,431,-2.929335239,4.272659786,0.846903251,183.0394426218097,142.48259860788866,3719.4895591647332,101.39211147563806,416.2412993039443,16.009280774477958,5.336426916821345,58.70069605568445,0.0,213.4570765661253,128.07424593967517,4194.431562529002,16.009280742459396,101.9257541136891,37.35498839907192,448.25986078886314,3361.948955916473,32.018561404872386,3.050657377030162,10.0,2.3246809744779586,5.0,1.6009280742459395,2.964681624903325,5.0,5.0,0.0,2.6682134570765665,0.8004640371229698,5.0,3.201856148491879,0.0,0.0,0.0,0.0,0.0,46.6114816933488
16,a pad thai worth making,4,27.800000020000002,5.0,279.9999999,1591.0000008000002,756.999999,83.10000000000001,5.5,41.4,10.999999993500001,1651.0,39.0,127.0,5.000000004,0.0,19.0,1.0,118.0,134.0,742,-5.403636443,4.517766786,0.99999138,257.58760107816715,128.3288409703504,5117.654986522911,120.88948787061994,393.6657681940701,15.498652303504043,0.0,58.89487870619946,3.0997304582210243,365.7681940700809,415.3638814016173,2346.495953773585,17.048517520215633,86.17250680053908,15.498652291105122,867.9245279919136,4931.671161509435,34.09703502028302,4.293126684636119,10.0,3.198534366576819,5.0,1.5140991084387312,2.870120796945193,0.0,5.0,5.0,4.572102425876011,2.596024258760108,3.3521370768194068,3.4097035040431267,0.0,1.1253369272237195,0.0,0.0,0.0,51.931185149319234
17,a plus fair corn dogs,4,19.699999995,7.0,35.0000001,724.0000008,111.000001,13.5999999,0.4,6.9,5.000000008500001,26.0,0.0,47.0,1.000000008,0.0,3.0,0.0,11.0,26.0,261,-4.946264609,4.454127662,0.967511601,119.8467424137931,60.804597701149426,229.11877394636014,0.0,414.1762452107279,8.812260606896553,0.0,26.436781609195403,0.0,96.93486590038314,229.11877394636014,978.1609283524904,3.524904214559387,173.6015325229885,61.685823754789276,308.4291196551724,6380.076635402298,44.06130275689656,1.9974457068965514,9.120689655172413,0.14319923371647508,0.0,1.5929855585027997,1.6319001123882504,0.0,5.0,0.0,1.2116858237547894,1.431992337164751,1.397372754789272,0.7049808429118775,0.0,0.0,0.0,0.0,0.0,24.23225202529718
